#,Condition,Description,Listen,Title,_ext_links,_file_links,_source_page,_wiki_api,biome_category,game
1,"* Forest, daytime","A cheerful, upbeat, and simple tune.",300px,Overworld Day,,['Music-Overworld Day.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
2,"* Blood Moon
* Meteorite",A slower and more sinister track.,300px,Eerie,,['Music-Eerie.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
3,"* Forest, night-time
* The Hallow (surface), night-time","Relatively peaceful and relaxing, though in a minor key.",300px,Night,,['Music-Overworld Night.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
4,"* Underground
* Cavern",A whimsical track with an almost robotic tone.,300px,Underground,,['Music-Underground.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
5,* Eye of Cthulhu,"Loud and frantic battle music, with the scratching sounds at the beginning sounding like a siren.",300px,Boss 1,,['Music-Boss 1.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
6,* Title screen,"A serene, solemn tune, but short and hooking.",300px,Title,,['Music-Title Screen.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
7,"* Jungle, surface, daytime","An exotic, relaxed tune, it has a heavy emphasis on percussion.",300px,Jungle,,['Music-Jungle.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
8,"* The Corruption (surface)
* Remix world generation",Its melody somewhat resembles the Overworld Day track but altered and slowed to sound much darker and more menacing.,300px,Corruption,,['Music-Corruption.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
9,"* The Hallow (surface), daytime","It has a very happy, heavenly tone and makes use of instruments related to this idea, especially the harp and glockenspiel. It shares a lot of its melody with Overworld Day.",300px,The Hallow,,['Music-The Hallow.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
10,* Underground Corruption,"This track is a combination of Corruption and Underground tracks, with a depressing and dark tone.",300px,Underground Corruption,,['Music-Underground Corruption.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
11,"* Underground Hallow
* Celebration Mk 10 world generation","This track is a combination of the Hallow and Underground tracks. It shares the heavenly tone of the Hallow track, but with a faster-paced, electronic tune.",300px,Underground Hallow,,['Music-Underground Hallow.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
12,* Wall of Flesh,"It is a very hectic, frantic tune, and gives the feel of a chase, fear and horror, especially at the beginning.",300px,Boss 2,,['Music-Boss 2.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
13,"* Brain of Cthulhu
* Frost Legion","It is much slower and less intense than the other boss fights, the slowest track in the soundtrack, giving it a more menacing and mechanical tone.",300px,Boss 3,,['Music-Boss 3.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
14,* Snow biome,"A relaxed, somewhat slow-paced theme with a distinct, cold, and crystalline feel.",300px,Snow,,['Music-Snow.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
15,"* Space, night-time",A quick and carefree theme that makes use of many airy synths and shares some of its instruments with the Overworld Day theme. Contains a motif of Underground.,300px,Space Night,,['Music-Space Night.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
16,* The Crimson (surface),"An unnerving, dark, and unsettling theme with a faster pace than that of the Corruption. Its main melody comes near the end of the track.",300px,Crimson,,['Music-Crimson.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
17,* Golem,Fast paced without being particularly dark or menacing.,300px,Boss 4,,['Music-Golem.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
18,"* Forest, daytime","A cheerful, upbeat tune similar to the Overworld Day theme, but with a more complex composition.",300px,Alt Overworld Day,,['Music-Alternate Day.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
19,* Rain,"It gives the effect of a peaceful and calming theme, slower and less upbeat than others.",300px,Rain,,['Music-Rain.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
20,* Ice biome,"A calm, mysterious, and wintery theme slightly reminiscent of the Alt Underground theme.",300px,Ice,,['Music-Ice biome.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
21,* Desert,"It is a simple, quiet theme inspired by ancient Egyptian music as commonly portrayed in other video games and films.",300px,Desert,,['Music-Desert.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
22,"* Ocean, daytime",It is a tranquil theme with a somewhat slower pace than other daytime themes.,300px,Ocean Day,,['Music-Ocean Day.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
23,* Dungeon,"A sinister, dark theme that makes use of various instruments to evoke a sound akin to the echoes of a deep dungeon below.",300px,Dungeon,,['Music-Dungeon.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
24,* Plantera,"It is a unique, mid-tempo track in a heavy metal style, featuring prominent use of electric guitars and incorporating melodies from the Jungle soundtrack. It is a nod to Cenx's favorite band, .",300px,Plantera,,['Music-Plantera.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
25,* Mechdusa,"It is a frenetic, serious theme, which uses sounds resembling buzzes and hovering.",300px,Boss 5,,['Music-Boss 5.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
26,* Jungle Temple,"A mysterious and exotic-sounding theme, feeling like being in an ancient world.",300px,Temple,,['Music-Lihzahrd.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
27,* Solar Eclipse,"It is dark with a varying pace, featuring an organ to give it a classic horror feel.",300px,Eclipse,,['Music-Eclipse.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
28,"* Rain
* Thunderstorm",The sounds of rain pattering on the ground with slight hints of distant thunder.,300px,Rain ambience,,['28 RainAmbience.wav'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
29,* Glowing Mushroom biome,"An offbeat, exotic, and trippy piece. It also contains a Corruption motif past the middle of the track.",300px,Mushrooms,,['Music-Mushrooms.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
30,* Pumpkin Moon,Spooky Halloween-themed music.,300px,Pumpkin Moon,,['Music-Pumpkin Moon.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
31,"* Underground
* Cavern","It has a different, less whimsical feel than the original Underground theme. It also contains a Boss 2 motif near the end of the song.",300px,Alt Underground,,['Music-Alternate Underground.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
32,* Frost Moon,It vaguely resembles a Christmas song but is more upbeat and uses an electric guitar with a heavy distortion applied giving it a metal feel to the track.,300px,Frost Moon,,['Music-Frost Moon.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
33,* Underground Crimson,A mix of the Underground and Crimson tracks.,300px,Underground Crimson,,['Music-Underground Crimson.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
34,* Lunar Events,"A fast, abstract, and especially intense theme.",300px,The Towers,,['Music-Lunar Boss.mp3'],Music,https://terraria.wiki.gg/api.php,cave_underground,Terraria
